Grammar,Meaning,Connection,Simple_Example_JP,Simple_Example_CN,Hard_Example_JP,Hard_Example_CN,Similar_Grammar,Difference
"～は～です","...是... (判断句)","A は B です","<ruby>私<rt>わたし</rt></ruby>は<ruby>学生<rt>がくせい</rt></ruby>です。","我是学生。","<ruby>昨日<rt>きのう</rt></ruby><ruby>買<rt>か</rt></ruby>った<ruby>本<rt>ほん</rt></ruby>は、<ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>にある<ruby>日本語<rt>にほんご</rt></ruby>の<ruby>教科書<rt>きょうかしょ</rt></ruby>です。","昨天买的书，是桌子上的那本日语教科书。","～が～です","「は」提示旧信息（主题），重点在后面；「が」提示新信息（主语），重点在「が」前面（如：誰が学生ですか。私が学生です）。"
"～に (存在)","在... (存在的地点)","場所 ＋ に ＋ (います/あります)","<ruby>庭<rt>にわ</rt></ruby>に<ruby>犬<rt>いぬ</rt></ruby>がいます。","院子里有狗。","<ruby>昔<rt>むかし</rt></ruby>、この<ruby>静<rt>しず</rt></ruby>かな<ruby>公園<rt>こうえん</rt></ruby>の<ruby>近<rt>ちか</rt></ruby>くに、<ruby>有名<rt>ゆうめい</rt></ruby>な<ruby>作家<rt>さっか</rt></ruby>が<ruby>住<rt>す</rt></ruby>んでいました。","很久以前，在这个安静的公园附近，住着一位有名的作家。","～で (動作)","「に」表示存在的场所（静态）；「で」表示动作发生的场所（动态）。例：公園にいます (在公园) vs 公園で遊びます (在公园玩)。"
"～で (手段)","用/通过... (手段/工具)","名詞 ＋ で","バスで<ruby>学校<rt>がっこう</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きます。","坐巴士去学校。","<ruby>日本語<rt>にほんご</rt></ruby>で<ruby>手紙<rt>てがみ</rt></ruby>を<ruby>書<rt>か</rt></ruby>くのは<ruby>難<rt>むずか</rt></ruby>しいですが、<ruby>辞書<rt>じしょ</rt></ruby>を<ruby>使<rt>つか</rt></ruby>って<ruby>頑張<rt>がんば</rt></ruby>りました。","用日语写信很难，但我用词典努力写了。","～て (方法)","「で」接名词（道具/交通工具）；「て」是动词的て形，表示方式。例：歩いて行きます (走着去 - 身体动作) vs バスで行きます (坐巴士 - 交通工具)。"
"～へ","往/向... (移动方向)","場所 ＋ へ ＋ 行く/来る/帰る","<ruby>家<rt>うち</rt></ruby>へ<ruby>帰<rt>かえ</rt></ruby>ります。","回家。","<ruby>来週<rt>らいしゅう</rt></ruby>の<ruby>週末<rt>しゅうまつ</rt></ruby>、<ruby>友達<rt>ともだち</rt></ruby>と<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>新幹線<rt>しんかんせん</rt></ruby>で<ruby>東京<rt>とうきょう</rt></ruby>へ<ruby>行<rt>い</rt></ruby>くつもりです。","下周末，打算和朋友一起坐新干线去东京。","～に (到着点)","「へ」强调方向（Towards）；「に」强调到达点（To）。现代日语中，去某地时两者常通用，但「へ」更有“朝着那个方向移动”的语感。"
"～か～か","是...还是... (选择)","A か B か","<ruby>コーヒー<rt>こーひー</rt></ruby>か<ruby>紅茶<rt>こうちゃ</rt></ruby>か、どちらがいいですか。","咖啡还是红茶，哪个好？","<ruby>明日<rt>あした</rt></ruby>は<ruby>晴<rt>は</rt></ruby>れるか<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>るか、まだわかりません。","明天是晴天还是下雨，还不知道。","～や～ (並列)","「か」是二选一；「や」是列举（A和B等）。例：ペンか鉛筆 (钢笔或铅笔) vs ペンや鉛筆 (钢笔和铅笔等)。"
"～も","也...","名詞 ＋ も","<ruby>私<rt>わたし</rt></ruby>も<ruby>学生<rt>がくせい</rt></ruby>です。","我也是学生。","<ruby>昨日<rt>きのう</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>りました。そして、<ruby>今日<rt>きょう</rt></ruby>も<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>っています。","昨天下雨了。而且，今天也在下雨。","",""
"～と","和... (并列/动作伴随)","名詞 ＋ と","<ruby>友達<rt>ともだち</rt></ruby>と<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>ます。","和朋友看电影。","<ruby>日曜日<rt>にちようび</rt></ruby>に、<ruby>父<rt>ちち</rt></ruby>と<ruby>母<rt>はは</rt></ruby>と<ruby>妹<rt>いもうと</rt></ruby>と<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>動物園<rt>どうぶつえん</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きました。","周日，我和爸爸、妈妈、妹妹一起去了动物园。","～や (不完全列挙)","「と」是完全列举（全部列出）；「や」是不完全列举（只列出代表性的）。"
"～から～まで","从...到... (时间/场所)","名詞(時間/場所) ＋ から ＋ 名詞(時間/場所) ＋ まで","9<ruby>時<rt>じ</rt></ruby>から5<ruby>時<rt>じ</rt></ruby>まで<ruby>働<rt>はたら</rt></ruby>きます。","从9点工作到5点。","<ruby>東京<rt>とうきょう</rt></ruby>から<ruby>大阪<rt>おおさか</rt></ruby>まで、<ruby>新幹線<rt>しんかんせん</rt></ruby>で2<ruby>時間<rt>じかん</rt></ruby>半<ruby>ぐらい<rt>ぐらい</rt></ruby>かかります。","从东京到大阪，坐新干线大约需要两个半小时。","",""
"～より","比... (比较)","A は B より ～","<ruby>中国<rt>ちゅうごく</rt></ruby>は<ruby>日本<rt>にほん</rt></ruby>より<ruby>広<rt>ひろ</rt></ruby>いです。","中国比日本大。","<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>書<rt>か</rt></ruby>くことは、<ruby>読<rt>よ</rt></ruby>むことより<ruby>難<rt>むずか</rt></ruby>しいと<ruby>思<rt>おも</rt></ruby>います。","我觉得写汉字比读汉字难。","～のほうが (方)","「AはBより...」(A比B...) 强调A的程度更高。「BよりAのほうが...」(比起B，A更...) 意思基本相同，但句型结构不同。"
"～てください","请... (请求/指示)","動詞（て形） ＋ ください","<ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>あ</rt></ruby>けてください。","请打开窗户。","すみませんが、この<ruby>漢字<rt>かんじ</rt></ruby>の<ruby>読<rt>よ</rt></ruby>み<ruby>方<rt>かた</rt></ruby>を<ruby>教<rt>おし</rt></ruby>えてくださいませんか。","不好意思，能请您教我这个汉字的读法吗？","",""
"～ています","正在... (动作进行) / ...着 (状态持续)","動詞（て形） ＋ います","<ruby>今<rt>いま</rt></ruby>、<ruby>手紙<rt>てがみ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いています。","现在正在写信。","<ruby>彼<rt>かれ</rt></ruby>は<ruby>結婚<rt>けっこん</rt></ruby>しています。そして、<ruby>東京<rt>とうきょう</rt></ruby>に<ruby>住<rt>す</rt></ruby>んでいます。","他结婚了（状态）。而且，住在东京（状态）。","",""
"～てもいいです","可以... (许可)","動詞（て形） ＋ もいいです","<ruby>写真<rt>しゃしん</rt></ruby>を<ruby>撮<rt>と</rt></ruby>ってもいいですか。","可以拍照吗？","この<ruby>辞書<rt>じしょ</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>も<ruby>使<rt>つか</rt></ruby>っていませんから、<ruby>借<rt>か</rt></ruby>りてもいいですよ。","这本词典谁也没在用，所以可以借走哦。","",""
"～てはいけません","不准... / 禁止...","動詞（て形） ＋ は ＋ いけません","ここで<ruby>タバコ<rt>たばこ</rt></ruby>を<ruby>吸<rt>す</rt></ruby>ってはいけません。","不准在这里吸烟。","<ruby>美術館<rt>びじゅつかん</rt></ruby>の<ruby>中<rt>なか</rt></ruby>で、<ruby>大<rt>おお</rt></ruby>きな<ruby>声<rt>こえ</rt></ruby>で<ruby>話<rt>はな</rt></ruby>してはいけません。","在美术馆里，禁止大声喧哗。","～ないでください (請負)","「てはいけません」是强烈的禁止规则；「ないでください」是请求对方不要做某事（请别...）。"
"～ないでください","请不要... (否定的请求)","動詞（ない形） ＋ で ＋ ください","<ruby>写真<rt>しゃしん</rt></ruby>を<ruby>撮<rt>と</rt></ruby>らないでください。","请不要拍照。","<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>ですから、<ruby>心配<rt>しんぱい</rt></ruby>しないでください。","没事的，请不要担心。","",""
"～たい","想... (愿望)","動詞（ます形） ＋ たいです","<ruby>水<rt>みず</rt></ruby>を<ruby>飲<rt>の</rt></ruby>みたいです。","想喝水。","<ruby>将来<rt>しょうらい</rt></ruby>、<ruby>日本<rt>にほん</rt></ruby>へ<ruby>行<rt>い</rt></ruby>って、<ruby>働<rt>はたら</rt></ruby>きたいです。","将来想去日本工作。","～ほしい (物)","「たい」是想做动作；「ほしい」是想要某物（私がカメラがほしいです）。"
"～から (理由)","因为... (原因/理由)","文(普通形/丁寧形) ＋ から","<ruby>時間<rt>じかん</rt></ruby>がありませんから、<ruby>急<rt>いそ</rt></ruby>ぎましょう。","因为没时间了，快点吧。","<ruby>昨日<rt>きのう</rt></ruby>は<ruby>熱<rt>ねつ</rt></ruby>がありましたから、<ruby>学校<rt>がっこう</rt></ruby>を<ruby>休<rt>やす</rt></ruby>みました。","因为昨天发烧了，所以向学校请假了。","～ので","「から」主观性强（我想...所以...）；「ので」客观性强，语气更礼貌、柔和。"
"～が (逆接)","虽然...但是... (转折)","文 ＋ が","<ruby>薬<rt>くすり</rt></ruby>を<ruby>飲<rt>の</rt></ruby>みましたが、まだ<ruby>元気<rt>げんき</rt></ruby>になりません。","虽然吃了药，但还没好。","この<ruby>店<rt>みせ</rt></ruby>は<ruby>料理<rt>りょうり</rt></ruby>がおいしいですが、ちょっと<ruby>高<rt>たか</rt></ruby>いです。","这家店的菜很好吃，但是有点贵。","",""
"～たり～たり","又...又... / 做做...做做... (列举动作)","動詞（た形） ＋ り ＋ 動詞（た形） ＋ り ＋ します","<ruby>日曜<rt>にちよう</rt></ruby><ruby>日<rt>び</rt></ruby>は、<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んだり、テレビを<ruby>見<rt>み</rt></ruby>たりします。","周日一般读读书，看看电视（之类）。","<ruby>休<rt>やす</rt></ruby>み<ruby>時間<rt>じかん</rt></ruby>に、<ruby>友達<rt>ともだち</rt></ruby>と<ruby>話<rt>はな</rt></ruby>したり、お<ruby>菓子<rt>かし</rt></ruby>を<ruby>食<rt>た</rt></ruby>べたりしました。","休息时间，和朋友聊了聊天，吃了点零食。","",""
"～まえに","在...之前","動詞（辞書形） ＋ まえに<br>名詞 ＋ の ＋ まえに","<ruby>寝<rt>ね</rt></ruby>る<ruby>前<rt>まえ</rt></ruby>に、<ruby>歯<rt>は</rt></ruby>を<ruby>磨<rt>みが</rt></ruby>きます。","睡觉前刷牙。","<ruby>食事<rt>しょくじ</rt></ruby>の<ruby>前<rt>まえ</rt></ruby>に、<ruby>手<rt>て</rt></ruby>を<ruby>洗<rt>あら</rt></ruby>わなければなりません。","吃饭前必须洗手。","",""
"～あとで","在...之后","動詞（た形） ＋ あとで<br>名詞 ＋ の ＋ あとで","<ruby>仕事<rt>しごと</rt></ruby>が<ruby>終<rt>お</rt></ruby>わった<ruby>あと<rt>あと</rt></ruby>で、<ruby>飲<rt>の</rt></ruby>みに<ruby>行<rt>い</rt></ruby>きませんか。","工作结束后，去喝一杯吗？","<ruby>授業<rt>じゅぎょう</rt></ruby>の<ruby>あと<rt>あと</rt></ruby>で、<ruby>先生<rt>せんせい</rt></ruby>に<ruby>質問<rt>しつもん</rt></ruby>しました。","下课后，问了老师问题。","",""
"～は～が (好き/上手)","...喜欢... / ...擅长...","A は B が (好き/嫌い/上手/下手)","<ruby>私<rt>わたし</rt></ruby>はイタリア<ruby>料理<rt>りょうり</rt></ruby>が<ruby>好<rt>す</rt></ruby>きです。","我喜欢意大利菜。","<ruby>田中<rt>たなか</rt></ruby>さんは<ruby>英語<rt>えいご</rt></ruby>が<ruby>上手<rt>じょうず</rt></ruby>ですが、<ruby>フランス<rt>ふらんす</rt></ruby><ruby>語<rt>ご</rt></ruby>は<ruby>下手<rt>へた</rt></ruby>です。","田中先生擅长英语，但不擅长法语。","",""
"～があります/わかります","有... / 懂... (能力/拥有)","A は B が (あります/わかります)","<ruby>私<rt>わたし</rt></ruby>は<ruby>車<rt>くるま</rt></ruby>があります。","我有车。","<ruby>細<rt>こま</rt></ruby>かい<ruby>説明<rt>せつめい</rt></ruby>はよくわかりませんが、だいたいの<ruby>意味<rt>いみ</rt></ruby>はわかります。","详细的说明不太懂，但大概的意思懂。","～を持っています","「あります」强调所有权的存在；「持っています」强调持有的状态。"
"い形容詞 (否定/過去)","(i-adj) 不... / ...了","寒い → 寒くない<br>寒い → 寒かった","<ruby>昨日<rt>きのう</rt></ruby>は<ruby>寒<rt>さむ</rt></ruby>かったです。","昨天很冷。","この<ruby>本<rt>ほん</rt></ruby>はあまり<ruby>面白<rt>おもしろ</rt></ruby>くなかったです。","这本书不太有趣（过去）。","",""
"な形容詞 (否定/過去)","(na-adj) 不... / ...了","静か(だ) → 静かじゃありません<br>静か(だ) → 静かでした","<ruby>奈良<rt>なら</rt></ruby>は<ruby>静<rt>しず</rt></ruby>かでした。","奈良很安静（过去）。","<ruby>昨日<rt>きのう</rt></ruby>の<ruby>試験<rt>しけん</rt></ruby>は<ruby>簡単<rt>かんたん</rt></ruby>じゃありませんでした。","昨天的考试不简单。","",""
"～のほうが","...更... (比较)","A より B のほうが ～","<ruby>北海道<rt>ほっかいどう</rt></ruby>のほうが<ruby>沖縄<rt>おきなわ</rt></ruby>より<ruby>大<rt>おお</rt></ruby>きいです。","北海道比冲绳更大。","<ruby>電車<rt>でんしゃ</rt></ruby>で<ruby>行<rt>い</rt></ruby>くより、<ruby>車<rt>くるま</rt></ruby>で<ruby>行<rt>い</rt></ruby>くほうが<ruby>便利<rt>べんり</rt></ruby>です。","与其坐电车去，不如开车去更方便。","",""
"～で～がいちばん","在...中最... (最高级)","範囲 で ～ が いちばん ～","スポーツでサッカーがいちばん<ruby>好<rt>す</rt></ruby>きです。","在运动中，最喜欢足球。","<ruby>一年<rt>いちねん</rt></ruby>でいつがいちばん<ruby>寒<rt>さむ</rt></ruby>いですか。","一年中什么时候最冷？","",""
"～に行きます","去... (移动的目的)","場所 へ (動詞ます形/名詞) に 行きます","デパートへ<ruby>靴<rt>くつ</rt></ruby>を<ruby>買<rt>か</rt></ruby>いに<ruby>行<rt>い</rt></ruby>きます。","去百货商店买鞋。","<ruby>週末<rt>しゅうまつ</rt></ruby>、<ruby>友達<rt>ともだち</rt></ruby>と<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>に<ruby>行<rt>い</rt></ruby>きました。","周末和朋友去看了电影。","",""
"～あげます","给... (授)","私 は 人 に 物 を あげます","<ruby>私<rt>わたし</rt></ruby>は<ruby>木村<rt>きむら</rt></ruby>さんに<ruby>花<rt>はな</rt></ruby>をあげました。","我送了花给木村小姐。","<ruby>父<rt>ちち</rt></ruby>の<ruby>誕生日<rt>たんじょうび</rt></ruby>に、ネクタイをあげようと<ruby>思<rt>おも</rt></ruby>っています。","父亲生日时，我想送领带。","",""
"～もらいます","收到... (受)","私 は 人 に/から 物 を もらいます","<ruby>私<rt>わたし</rt></ruby>は<ruby>山田<rt>やまだ</rt></ruby>さんから<ruby>辞書<rt>じしょ</rt></ruby>をもらいました。","我从山田先生那里收到了词典。","<ruby>卒業<rt>そつぎょう</rt></ruby>のお<ruby>祝<rt>いわ</rt></ruby>いに、<ruby>時計<rt>とけい</rt></ruby>をもらいました。","作为毕业礼物，收到了手表。","",""
"～くれます","给我... (别人主动给)","人 は 私 に 物 を くれます","<ruby>佐藤<rt>さとう</rt></ruby>さんが<ruby>私<rt>わたし</rt></ruby>に<ruby>傘<rt>かさ</rt></ruby>をくれました。","佐藤先生给了我一把伞。","<ruby>母<rt>はは</rt></ruby>は（<ruby>私<rt>わたし</rt></ruby>に）<ruby>新<rt>あたら</rt></ruby>しい<ruby>服<rt>ふく</rt></ruby>をくれました。","妈妈给了我新衣服。","～もらいます","「もらいます」主语是我（我得到）；「くれます」主语是别人（别人给我）。"
"～なければなりません","必须... (义务)","動詞（ない形）－ない ＋ ければなりません","<ruby>薬<rt>くすり</rt></ruby>を<ruby>飲<rt>の</rt></ruby>まなければなりません。","必须吃药。","<ruby>明日<rt>あした</rt></ruby>は<ruby>早<rt>はた</rt></ruby>く<ruby>起<rt>お</rt></ruby>きなければなりませんから、もう<ruby>寝<rt>ね</rt></ruby>ます。","明天必须早起，所以要睡了。","",""
"～なくてもいいです","不...也可以 (无必要)","動詞（ない形）－ない ＋ くてもいいです","<ruby>明日<rt>あした</rt></ruby>は<ruby>来<rt>こ</rt></ruby>なくてもいいです。","明天不来也可以。","<ruby>時間<rt>じかん</rt></ruby>がありますから、<ruby>急<rt>いそ</rt></ruby>がなくてもいいですよ。","因为有时间，不着急也没关系。","",""
"～ことができます","能... / 会... (可能)","動詞（辞書形） ＋ こと が できます","<ruby>私<rt>わたし</rt></ruby>はピアノを<ruby>弾<rt>ひ</rt></ruby>くことができます。","我会弹钢琴。","この<ruby>店<rt>みせ</rt></ruby>でカードを<ruby>使<rt>つか</rt></ruby>うことができますか。","这家店能用信用卡吗？","",""
"～たことがあります","...过 (经验)","動詞（た形） ＋ こと が あります","<ruby>私<rt>わたし</rt></ruby>は<ruby>北海道<rt>ほっかいどう</rt></ruby>へ<ruby>行<rt>い</rt></ruby>ったことがあります。","我去过北海道。","<ruby>一度<rt>いちど</rt></ruby>も<ruby>桜<rt>さくら</rt></ruby>を<ruby>見<rt>み</rt></ruby>たことがありません。","一次也没看过樱花。","",""
"～と思います","我觉得... / 我想... (推测/意见)","文（普通形） ＋ と思います","<ruby>明日<rt>あした</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>ると<ruby>思<rt>おも</rt></ruby>います。","我觉得明天会下雨。","<ruby>日本<rt>にほん</rt></ruby>の<ruby>物価<rt>ぶっか</rt></ruby>は<ruby>高<rt>たか</rt></ruby>いと<ruby>思<rt>おも</rt></ruby>います。","我觉得日本的物价很高。","",""
"～と言います","说... (引用)","文（普通形/丁寧形） ＋ と言います","<ruby>寝<rt>ね</rt></ruby>る<ruby>前<rt>まえ</rt></ruby>に「おやすみなさい」と<ruby>言<rt>い</rt></ruby>います。","睡觉前说“晚安”。","<ruby>彼<rt>かれ</rt></ruby>は、<ruby>明日<rt>あした</rt></ruby>の<ruby>会議<rt>かいぎ</rt></ruby>に<ruby>間<rt>ま</rt></ruby>に<ruby>合<rt>あ</rt></ruby>わないと<ruby>言<rt>い</rt></ruby>いました。","他说赶不上明天的会议。","",""
"名詞修飾","...的... (定语从句)","文（普通形） ＋ 名詞","これは<ruby>私<rt>わたし</rt></ruby>が<ruby>撮<rt>と</rt></ruby>った<ruby>写真<rt>しゃしん</rt></ruby>です。","这是我拍的照片。","<ruby>京都<rt>きょうと</rt></ruby>で<ruby>買<rt>か</rt></ruby>ったお<ruby>土産<rt>みやげ</rt></ruby>を<ruby>友達<rt>ともだち</rt></ruby>にあげました。","把在京都买的特产送给了朋友。","",""
"～とき","...的时候","動詞（辞書形/ない形/た形） ＋ とき","<ruby>図書館<rt>としょかん</rt></ruby>で<ruby>本<rt>ほん</rt></ruby>を<ruby>借<rt>か</rt></ruby>りる<ruby>とき<rt>とき</rt></ruby>、カードがいります。","在图书馆借书的时候，需要卡。","<ruby>子供<rt>こども</rt></ruby>の<ruby>とき<rt>とき</rt></ruby>、よくこの<ruby>公園<rt>こうえん</rt></ruby>で<ruby>遊<rt>あそ</rt></ruby>びました。","小时候，经常在这个公园玩。","～たら","「とき」表示确定的时间点；「たら」表示假定条件或发现（如果/之后）。"
"～たら","如果... / ...的话 (假定条件)","動詞（た形）－た ＋ ら","<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>ったら、<ruby>出<rt>で</rt></ruby>かけません。","如果下雨的话，就不出门。","<ruby>駅<rt>えき</rt></ruby>に<ruby>着<rt>つ</rt></ruby>いたら、<ruby>電話<rt>でんわ</rt></ruby>をください。","到了车站后，请给我打电话。","～と (条件)","「と」表示必然结果（一...就...）；「たら」范围更广，可表示假定、意志、建议等。"
"～ても","即使...也... (逆接条件)","動詞（て形） ＋ も","スイッチを<ruby>入<rt>い</rt></ruby>れても、<ruby>機械<rt>きかい</rt></ruby>が<ruby>動<rt>うご</rt></ruby>きません。","即使打开开关，机器也不动。","<ruby>安<rt>やす</rt></ruby>くても、<ruby>嫌<rt>きら</rt></ruby>いな<ruby>物<rt>もの</rt></ruby>は<ruby>買<rt>か</rt></ruby>いません。","即使便宜，不喜欢的东西也不买。","",""
"～はありません","不... / 没有... (否定)","名詞 ＋ は ＋ (ありません/いません)","<ruby>教室<rt>きょうしつ</rt></ruby>に<ruby>誰<rt>だれ</rt></ruby>もいません。","教室里谁也没有。","<ruby>私<rt>わたし</rt></ruby>は<ruby>車<rt>くるま</rt></ruby>がありません。","我没有车。","",""
"～じゃありません","不是... (名词/形容动词否定)","名詞/な形容詞 ＋ じゃありません","<ruby>私<rt>わたし</rt></ruby>は<ruby>学生<rt>がくせい</rt></ruby>じゃありません。","我不是学生。","この<ruby>町<rt>まち</rt></ruby>はあまり<ruby>静<rt>しず</rt></ruby>かじゃありません。","这个城市不太安静。","",""
"～これ/それ/あれ","这个/那个/那个 (指示词)","これ/それ/あれ は ～","これは<ruby>辞書<rt>じしょ</rt></ruby>です。","这是词典。","それは<ruby>何<rt>なん</rt></ruby>の<ruby>本<rt>ほん</rt></ruby>ですか。","那是什么书？","",""
"～ここ/そこ/あそこ","这里/那里/那里 (场所指示)","ここ/そこ/あそこ は ～","ここは<ruby>大阪<rt>おおさか</rt></ruby>です。","这里是大阪。","<ruby>受付<rt>うけつけ</rt></ruby>はあそこです。","接待处在那里。","",""
"～ませんか","...吗？ (邀请)","動詞（ます形）－ます ＋ ませんか","<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>京都<rt>きょうと</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きませんか。","要不要一起去京都？","<ruby>今晩<rt>こんばん</rt></ruby>、<ruby>食事<rt>しょくじ</rt></ruby>に行きませんか。","今晚要不要去吃饭？","～ましょう","「ませんか」是询问对方意愿（更礼貌）；「ましょう」是直接提议（我们...吧）。"
"～ましょう","...吧 (提议/答应)","動詞（ます形）－ます ＋ ましょう","ちょっと<ruby>休<rt>やす</rt></ruby>みましょう。","休息一下吧。","A: <ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>に行きませんか。<br>B: ええ、行きましょう。","A: 要不要去看电影？ B: 好啊，去吧。","",""
"～助数詞","(量词)","名詞 ＋ を ＋ 数字+助数詞 ＋ 動詞","リンゴを3つ<ruby>買<rt>か</rt></ruby>いました。","买了3个苹果。","<ruby>会議室<rt>かいぎしつ</rt></ruby>に<ruby>机<rt>つくえ</rt></ruby>が8つあります。","会议室里有8张桌子。","",""
"～て、～て","...并且... (动作连续)","動詞（て形）、～","<ruby>朝<rt>あさ</rt></ruby><ruby>起<rt>お</rt></ruby>きて、<ruby>朝<rt>あさ</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>を<ruby>食<rt>た</rt></ruby>べて、<ruby>会社<rt>かいしゃ</rt></ruby>へ行きます。","早上起床，吃早饭，然后去公司。","<ruby>昨日<rt>きのう</rt></ruby>は<ruby>銀座<rt>ぎんざ</rt></ruby>へ行って、<ruby>友達<rt>ともだち</rt></ruby>に<ruby>会<rt>あ</rt></ruby>って、<ruby>映画<rt>えいが</rt></ruby>を見ました。","昨天去了银座，见了朋友，看了电影。","",""
"～趣味は～ことです","爱好是...","趣味 は 動詞(辞書形) ＋ こと です","<ruby>私<rt>わたし</rt></ruby>の<ruby>趣味<rt>しゅみ</rt></ruby>は<ruby>音楽<rt>おんがく</rt></ruby>を<ruby>聞<rt>き</rt></ruby>くことです。","我的爱好是听音乐。","<ruby>彼<rt>かれ</rt></ruby>の<ruby>趣味<rt>しゅみ</rt></ruby>は<ruby>写真<rt>しゃしん</rt></ruby>を<ruby>撮<rt>と</rt></ruby>ることです。","他的爱好是摄影。","",""
"～なります","变得... (变化)","い形(く) / な形(に) / 名詞(に) ＋ なります","<ruby>寒<rt>さむ</rt></ruby>くなります。","变冷。","<ruby>元気<rt>げんき</rt></ruby>になりました。","精神变好了（恢复健康）。","",""
"普通形 (使用)","(普通体)","(会話 / 親しい関係)","A: <ruby>今晩<rt>こんばん</rt></ruby>、<ruby>暇<rt>ひま</rt></ruby>？<br>B: うん、暇だよ。","A: 今晚有空吗？ B: 嗯，有空哦。","A: アイスクリーム、<ruby>食<rt>た</rt></ruby>べる？<br>B: ううん、食べない。","A: 吃冰淇淋吗？ B: 不，不吃。","～丁寧形 (ます/です)","普通形用于家人、朋友等关系亲密的人；丁寧形用于长辈、上司或陌生人。"
"～と (条件)","一...就... (自然/机械)","動詞（辞書形） ＋ と","このボタンを<ruby>押<rt>お</rt></ruby>すと、お<ruby>釣<rt>つ</rt></ruby>りが<ruby>出<rt>で</rt></ruby>ます。","一按这个按钮，零钱就会出来。","<ruby>春<rt>はる</rt></ruby>になると、<ruby>桜<rt>さくら</rt></ruby>が<ruby>咲<rt>さ</rt></ruby>きます。","一到春天，樱花就会开。","",""
